day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,year,month,day,week_of_year,sales
0,408,1,0,0,1,0,0,0,2014,3,24,13,4011.1564889415868
2,648,1,1,0,1,0,0,0,2015,1,7,2,6684.569117361902
6,0,0,0,0,1,0,0,0,2013,6,2,22,0.0
1,1044,1,0,0,1,0,0,0,2014,1,28,5,7887.843735287391
4,719,1,0,0,1,0,0,0,2013,10,4,40,6465.297243943726
5,345,1,0,0,1,0,0,0,2015,1,10,2,3229.666046037434
2,566,1,1,1,1,0,0,0,2013,7,31,31,6706.8193920895865
1,777,1,1,0,1,0,0,0,2013,8,13,33,7716.6849071782035
3,1189,1,1,0,1,0,0,0,2015,4,16,16,10061.500853619618
4,998,1,1,1,1,0,0,0,2015,7,31,31,10648.21231527726
5,297,1,0,0,1,0,0,0,2014,7,12,28,2761.4435024910217
1,438,1,0,1,1,0,0,0,2013,12,31,1,4135.948138429049
1,1099,1,1,0,1,0,0,0,2013,9,24,39,9698.213675562898
0,323,1,0,0,1,0,0,0,2013,10,28,44,3321.624062391829
1,449,1,0,0,1,0,0,0,2014,7,8,28,4350.813437482729
2,614,1,1,0,1,0,0,0,2013,3,20,12,6150.942437021416
0,601,1,1,1,1,0,0,0,2014,4,28,18,7049.744741056015
3,501,1,1,1,1,0,0,0,2015,4,2,14,5854.0229980290405
1,580,1,0,1,1,0,0,0,2013,9,3,36,5161.377159441381
3,769,1,1,0,1,0,0,0,2015,2,5,6,7789.023850772097
2,1018,1,1,1,1,0,0,0,2013,8,14,33,8884.149976748618
2,717,1,0,0,1,0,0,0,2013,5,8,19,6012.122132448067
3,1139,1,0,0,1,0,0,0,2015,6,11,24,8567.106121019264
6,0,0,0,0,1,0,0,0,2013,9,15,37,0.0
4,338,1,0,0,1,0,0,0,2014,9,26,39,3371.852561623723
0,1236,1,1,0,1,0,0,0,2014,12,1,49,12854.661647796689
0,858,1,0,0,1,0,0,0,2015,5,11,20,7066.354654121841
1,1476,1,0,0,1,0,0,0,2015,3,24,13,10242.686008715089
1,737,1,1,0,1,0,0,0,2014,11,4,45,7549.829527155663
2,701,1,0,1,1,0,0,0,2013,2,13,7,5771.255305562152
4,282,1,1,0,1,0,0,0,2014,11,14,46,3491.6882395971807
4,710,1,0,0,1,0,0,0,2014,1,31,5,6943.153268113408
1,421,1,0,0,1,0,0,0,2015,6,9,24,4481.791464828293
5,380,1,0,0,1,0,0,0,2013,6,29,26,3605.7694297244743
1,720,1,1,0,1,0,0,0,2013,1,8,2,7348.070854037852
0,612,1,0,1,1,0,0,0,2013,10,28,44,5328.813510603518
0,863,1,0,1,1,0,0,0,2013,10,14,42,6736.419821817524
3,642,1,0,0,1,0,0,0,2014,4,10,15,5475.775662366408
5,544,1,0,0,1,0,0,0,2014,12,6,49,5337.8090501122315
1,1046,1,0,1,1,0,0,0,2013,9,3,36,7896.951434205421
4,652,1,1,0,1,0,0,0,2013,4,12,15,6446.356898094429
4,651,1,1,0,1,0,0,0,2014,7,4,27,6519.679350870773
5,550,1,0,0,1,0,0,0,2013,1,5,1,5345.603685311603
5,538,1,0,0,1,0,0,0,2014,11,22,47,5208.066781977722
5,877,1,0,0,1,0,0,0,2013,1,5,1,7362.654840898838
4,837,1,1,0,1,0,0,0,2015,3,20,12,8134.52969901588
3,508,1,1,0,1,0,0,0,2015,3,5,10,5815.221581209448
0,822,1,1,0,1,0,0,0,2014,3,31,14,9255.701294944029
0,962,1,0,0,1,0,0,0,2014,12,8,50,8246.784352944558
4,789,1,1,0,1,0,0,0,2014,2,21,8,7598.989826770901
6,0,0,0,0,1,0,0,0,2014,12,21,51,0.0
1,615,1,1,0,1,0,0,0,2014,2,18,8,6682.958830531957
0,367,1,0,0,1,0,0,0,2013,6,10,24,3645.308454309971
2,598,1,0,0,1,0,0,0,2013,9,18,38,5158.9878360057255
5,518,1,0,0,1,0,0,0,2013,4,6,14,5148.5849288882
1,714,1,1,0,1,0,0,0,2014,1,7,2,7462.179281598615
0,1013,1,1,0,1,0,0,0,2014,11,24,48,10279.894818758981
3,710,1,0,0,1,0,0,0,2014,6,26,26,5894.461921355828
0,1290,1,1,0,1,0,0,0,2015,3,30,14,13232.822938950309
3,711,1,0,1,1,0,0,0,2013,1,3,1,5982.965087640919
6,0,0,0,0,1,0,0,0,2013,8,18,33,0.0
4,860,1,0,0,1,0,0,0,2014,5,30,22,8434.357887752318
1,850,1,1,0,1,0,0,0,2015,6,2,23,8712.919084639381
0,497,1,0,0,1,0,0,0,2014,3,10,11,4620.518534892917
6,0,0,0,0,1,0,0,0,2013,11,24,47,0.0
5,515,1,0,0,1,0,0,0,2013,8,31,35,5229.031422948445
5,951,1,0,1,1,0,0,0,2014,8,30,35,8825.639168803562
0,1166,1,0,0,1,0,0,0,2014,9,22,39,8494.973668838076
2,854,1,0,0,1,0,0,0,2015,5,27,22,7038.4825691526885
1,394,1,1,0,1,0,0,0,2013,5,14,20,4793.489492276535
3,576,1,0,0,1,0,0,0,2015,7,9,28,5379.571274289066
1,744,1,0,0,1,0,0,0,2014,8,26,35,6046.455930573554
6,0,0,0,0,1,0,0,0,2014,6,22,25,0.0
5,977,1,0,0,1,0,0,0,2013,6,8,23,7879.328286730688
4,676,1,0,0,1,0,0,0,2013,12,13,50,6900.781012699219
1,689,1,1,0,1,0,0,0,2013,9,10,37,7202.9051988115825
2,681,1,1,1,1,0,0,0,2014,4,16,16,6893.047744784892
4,522,1,0,1,1,0,0,0,2015,5,29,22,5592.851739627172
1,1080,1,1,0,1,0,0,0,2013,7,30,31,10519.969121276565
2,458,1,0,0,1,0,0,0,2013,10,16,42,4280.570861298885
5,510,1,0,0,1,0,0,0,2014,10,11,41,4882.786479060835
4,775,1,1,0,1,0,0,0,2013,12,6,49,8246.69574139305
6,0,0,0,0,1,0,0,0,2013,8,11,32,0.0
1,1561,1,0,1,1,0,0,0,2014,12,23,52,14838.035315400313
1,962,1,1,0,1,0,0,0,2014,11,11,46,8788.784554392352
6,0,0,0,0,1,0,0,0,2014,12,7,49,0.0
3,963,1,1,0,1,0,0,0,2014,11,27,48,8906.37609236516
1,1682,1,1,0,1,0,0,0,2014,2,18,8,13125.19552544516
5,551,1,0,0,1,0,0,0,2013,5,4,18,5380.650942673989
0,378,1,1,0,1,0,0,0,2014,5,5,19,4718.03317482469
4,622,1,0,0,1,0,0,0,2014,1,17,3,5591.016170860988
0,681,1,1,0,1,0,0,0,2014,12,15,51,8342.998565975258
3,710,1,1,0,1,0,0,0,2013,2,7,6,6911.023039700991
4,833,1,1,0,1,0,0,0,2015,6,5,23,8296.369406098655
5,301,1,0,0,1,0,0,0,2013,7,6,27,2786.5001357045403
5,908,1,0,0,1,0,0,0,2013,11,30,48,8614.106934074556
0,763,1,1,0,1,0,0,0,2015,1,26,5,8501.522829869054
2,836,1,1,1,1,0,0,0,2014,9,3,36,8092.049579301507
0,1327,1,0,1,1,0,0,0,2013,12,30,1,10949.33276278866
0,1170,1,1,0,1,0,0,0,2013,12,2,49,12057.445371849804
1,767,1,1,1,1,0,0,0,2013,7,30,31,8204.874098841254
1,547,1,0,1,1,0,0,0,2014,10,28,44,4992.748350201424
4,553,1,1,0,1,0,0,0,2014,9,19,38,5718.033721943964
5,491,1,0,0,1,0,0,0,2013,11,2,44,4818.371667282749
4,599,1,0,0,1,0,0,0,2013,10,18,42,5319.106385474455
3,744,1,1,0,1,0,0,0,2014,11,27,48,7956.239658890037
2,1515,1,1,1,1,0,0,0,2015,7,29,31,12456.25466376588
3,461,1,0,1,1,0,0,0,2013,4,4,14,4462.294107936158
6,0,0,0,0,1,0,0,0,2013,5,26,21,0.0
6,0,0,0,0,1,0,0,0,2015,1,4,1,0.0
2,378,1,1,1,1,0,0,0,2014,9,3,36,4299.365943481656
5,805,1,0,0,1,0,0,0,2013,10,5,40,6880.367965375816
1,491,1,0,0,1,0,0,0,2013,7,9,28,4640.211346684296
0,472,1,0,0,1,0,0,0,2013,9,2,36,4459.866724605211
0,1562,1,1,0,1,0,0,0,2014,6,2,23,14689.25982784638
3,666,1,0,0,1,0,0,0,2015,1,22,4,5683.273307098788
0,404,1,0,0,1,0,0,0,2014,3,10,11,3972.184184035554
5,847,1,0,0,1,0,0,0,2014,11,22,47,7289.535138388381
3,376,1,1,0,1,0,0,0,2013,2,21,8,4058.543907259792
1,1682,1,1,0,1,0,0,0,2015,6,2,23,13547.029980331066
6,0,0,0,0,1,0,0,0,2013,10,20,42,0.0
6,0,0,0,0,1,0,0,0,2014,2,9,6,0.0
5,826,1,0,0,1,0,0,0,2015,4,4,14,8097.069851526711
2,737,1,1,0,1,0,0,0,2013,3,6,10,7247.987057794045
6,0,0,0,0,1,0,0,0,2014,4,13,15,0.0
0,0,0,0,1,0,0,1,0,2014,4,21,17,0.0
2,632,1,1,0,1,0,0,0,2014,5,21,21,6496.06857901968
0,871,1,1,0,1,0,0,0,2015,6,29,27,9981.963188867969
1,902,1,1,0,1,0,0,0,2014,7,1,27,8919.061981664698
6,0,0,0,1,1,0,0,0,2014,8,3,31,0.0
0,1193,1,0,1,1,0,0,0,2013,12,30,1,10451.247583095113
3,585,1,0,1,1,0,0,0,2013,4,4,14,5257.021279750137
4,791,1,0,1,1,0,0,0,2013,12,27,52,6839.015056587556
2,1720,1,1,0,1,0,0,0,2014,3,5,10,13712.987443330709
2,579,1,1,0,1,0,0,0,2015,1,14,3,6137.937919309611
4,999,1,0,0,1,0,0,0,2015,6,26,26,8237.36143625588
3,790,1,1,0,1,0,0,0,2013,8,29,35,7960.855716895683
1,1476,1,1,0,1,0,0,0,2013,3,19,12,12913.764095174489
1,689,1,1,0,1,0,0,0,2013,11,5,45,7198.326033872121
5,484,1,0,0,1,0,0,0,2013,3,23,12,4696.711725955146
0,607,1,0,0,1,0,0,0,2013,1,14,3,5121.9771181619135
0,716,1,0,0,1,0,0,0,2014,10,27,44,5963.246069639023
6,0,0,0,0,1,0,0,0,2015,3,15,11,0.0
5,341,1,0,0,1,0,0,0,2015,7,11,28,3262.564406186582
4,2677,1,1,0,1,0,0,0,2014,11,28,48,16077.819875745534
5,582,1,0,0,1,0,0,0,2013,11,9,45,5892.965665846572
2,2241,1,1,0,1,0,0,0,2015,1,28,5,16689.52893708168
5,517,1,0,0,1,0,0,0,2015,1,17,3,5229.931673399772
2,1029,1,1,0,1,0,0,0,2014,3,5,10,9198.68085229257
3,450,1,0,0,1,0,0,0,2013,9,5,36,4387.152037384613
1,766,1,1,0,1,0,0,0,2015,1,27,5,7719.386684773015
3,517,1,0,1,1,0,0,0,2013,7,25,30,4603.957265805245
0,929,1,0,0,1,0,0,0,2014,9,22,39,7056.268502423004
2,610,1,1,0,1,0,0,0,2014,3,19,12,6179.910106732352
1,490,1,0,1,1,0,0,0,2015,4,7,15,4906.565308658098
2,453,1,0,1,1,0,0,0,2014,7,9,28,4361.10820480602
0,3171,1,0,0,1,0,0,0,2013,1,14,3,16222.389388216448
5,1881,1,0,0,1,0,0,0,2014,5,31,22,13497.477110666223
2,962,1,1,1,1,0,0,0,2014,7,16,29,8526.439931253717
5,1251,1,0,0,1,0,0,0,2013,2,2,5,9895.386690444107
0,627,1,0,0,1,0,0,0,2013,1,14,3,5270.5916828850095
3,563,1,0,0,1,0,0,0,2013,6,27,26,4971.109176640612
2,763,1,0,1,1,0,0,0,2015,7,22,30,6543.777963369335
2,507,1,1,1,1,0,0,0,2013,5,29,22,5554.860412588556
5,862,1,0,0,1,0,0,0,2015,1,24,4,7766.995463759471
1,1563,1,1,0,1,0,0,0,2014,6,17,25,13187.147831462233
3,455,1,1,0,1,0,0,0,2015,5,7,19,5283.90803093691
4,764,1,1,0,1,0,0,0,2013,3,22,12,7301.714918959552
2,1906,1,1,1,1,0,0,0,2015,4,1,14,15479.111078867467
2,757,1,1,0,1,0,0,0,2013,12,4,49,8679.51281563865
1,675,1,0,0,1,0,0,0,2013,11,26,48,5873.87505822834
0,429,1,1,0,1,0,0,0,2014,7,14,29,5314.315973117436
1,745,1,1,0,1,0,0,0,2013,8,27,35,7426.167570004396
2,659,1,0,1,1,0,0,0,2015,4,8,15,5934.069780442677
6,0,0,0,0,1,0,0,0,2014,11,23,47,0.0
4,1599,1,0,0,1,0,0,0,2014,2,28,9,11397.816167269066
6,0,0,0,0,1,0,0,0,2015,4,12,15,0.0
2,806,1,1,0,1,0,0,0,2014,6,4,23,7929.0497286480495
6,0,0,0,0,1,0,0,0,2013,3,31,13,0.0
5,614,1,0,0,1,0,0,0,2015,7,4,27,6138.611753145378
4,453,1,0,0,1,0,0,0,2015,6,12,24,4604.289508759405
5,402,1,0,0,1,0,0,0,2015,6,20,25,4023.020985662092
0,960,1,0,1,1,0,0,0,2013,12,30,1,9274.801805762745
3,856,1,1,0,1,0,0,0,2013,10,24,43,7859.889098337673
5,589,1,0,0,1,0,0,0,2014,3,15,11,5648.635771107173
0,1096,1,1,0,1,0,0,0,2013,5,13,20,11012.885741424445
6,0,0,0,0,1,0,0,0,2013,12,22,51,0.0
0,749,1,0,0,1,0,0,0,2013,3,11,11,6053.607302679518
3,493,1,0,0,1,0,0,0,2014,6,26,26,4572.124969062031
0,0,0,0,1,0,0,1,0,2014,4,21,17,0.0
4,925,1,0,0,1,0,0,0,2013,3,1,9,7839.016080890561
1,948,1,1,0,1,0,0,0,2013,4,23,17,8699.45683670818
0,988,1,0,0,1,0,0,0,2014,12,8,50,7996.718643572473
2,1087,1,1,0,1,0,0,0,2014,1,22,4,9525.141727411341
0,1093,1,1,0,1,0,0,0,2013,3,4,10,11025.871695208223
2,756,1,1,1,1,0,0,0,2014,8,20,34,7406.540370473792
6,0,0,0,0,1,0,0,0,2014,6,8,23,0.0
5,825,1,0,0,1,0,0,0,2015,7,18,29,7456.92378898343
1,1205,1,1,0,1,0,0,0,2015,3,17,12,10559.668452654949
1,351,1,1,1,1,0,0,0,2013,5,28,22,4041.2489071737814
6,0,0,0,0,1,0,0,0,2013,2,10,6,0.0
3,483,1,0,0,1,0,0,0,2013,10,17,42,4375.21821571469
1,648,1,1,0,1,0,0,0,2013,11,19,47,6710.219635781923
5,786,1,0,0,1,0,0,0,2015,4,11,15,7064.60756645981
4,629,1,0,0,1,0,0,0,2013,6,28,26,5983.894842518244
0,1174,1,1,0,1,0,0,0,2015,2,16,8,11414.695686708876
4,175,1,0,1,1,0,0,0,2013,10,18,42,1682.5968578590598
3,1910,1,0,1,1,0,0,0,2014,1,2,1,13046.328684738339
2,647,1,1,0,1,0,0,0,2014,10,8,41,6616.761936625047
0,698,1,1,1,1,0,0,0,2015,1,5,2,8085.784518493787
2,749,1,0,0,1,0,0,0,2014,3,12,11,6043.125970863854
3,428,1,0,0,1,0,0,0,2014,1,16,3,4086.8708761908056
1,384,1,0,1,1,0,0,0,2014,7,8,28,3819.2692897689076
5,520,1,0,0,1,0,0,0,2014,2,15,7,5151.067816455904
4,578,1,0,0,1,0,0,0,2014,1,31,5,5735.021005390858
5,462,1,0,0,1,0,0,0,2014,6,21,25,4399.797185425635
5,668,1,0,0,1,0,0,0,2015,4,4,14,6679.527581200329
4,804,1,0,1,1,0,0,0,2013,1,4,1,6874.995293529092
1,431,1,0,1,1,0,0,0,2013,8,6,32,4264.461147639866
5,490,1,0,0,1,0,0,0,2015,5,9,19,4928.271440650685
3,1108,1,1,0,1,0,0,0,2015,2,19,8,9629.230235697114
4,989,1,0,1,1,0,0,0,2013,4,5,14,7959.414911927128
6,0,0,0,0,1,0,0,0,2015,2,1,5,0.0
5,694,1,0,0,1,0,0,0,2013,8,10,32,6311.140323487174
3,948,1,1,0,1,0,0,0,2014,2,20,8,8357.95767528457
3,618,1,1,0,1,0,0,0,2015,6,4,23,6386.940156520792
5,266,1,0,0,1,0,0,0,2013,9,7,36,2477.926198110936
5,388,1,0,0,1,0,0,0,2013,9,7,36,3593.219681135032
2,567,1,0,1,1,0,0,0,2014,8,27,35,5030.586164853566
5,380,1,0,0,1,0,0,0,2013,5,18,20,3509.2616845870775
4,592,1,0,1,1,0,0,0,2013,4,5,14,5362.899283419583
2,552,1,0,0,1,0,0,0,2013,9,18,38,4866.290476902156
1,708,1,1,0,1,0,0,0,2015,2,3,6,7503.169288440872
2,535,1,0,1,1,0,0,0,2015,7,22,30,5004.341258485637
1,661,1,1,1,1,0,0,0,2013,8,13,33,6911.745510941356
6,0,0,0,0,1,0,0,0,2015,1,11,2,0.0
0,0,0,0,0,0,1,0,0,2013,5,20,21,0.0
2,621,1,0,0,1,0,0,0,2013,11,13,46,5316.183541918499
0,754,1,0,0,1,0,0,0,2013,4,15,16,6065.323608975291
4,1211,1,1,0,1,0,0,0,2014,1,24,4,10167.959619690626
2,837,1,1,1,1,0,0,0,2014,9,3,36,8094.546767370999
4,677,1,1,0,1,0,0,0,2015,1,16,3,6808.750028960599
3,416,1,1,0,1,0,0,0,2013,6,6,23,4721.81271111731
1,479,1,0,0,1,0,0,0,2015,2,10,7,4558.535186638076
3,589,1,0,0,1,0,0,0,2013,5,23,21,5188.755413471613
2,581,1,1,1,1,0,0,0,2013,2,20,8,5950.09260692967
6,0,0,0,0,1,0,0,0,2013,6,30,26,0.0
3,657,1,0,0,1,0,0,0,2013,7,11,28,5518.549840092419
4,854,1,1,0,1,0,0,0,2013,4,26,17,7865.98628151121
6,0,0,0,0,1,0,0,0,2015,4,19,16,0.0
5,471,1,0,0,1,0,0,0,2013,11,30,48,4811.828924190323
3,598,1,0,0,1,0,0,0,2014,2,13,7,5134.3075846967295
3,319,1,0,0,1,0,0,0,2013,3,14,11,3314.334564090794
2,0,0,0,1,0,0,0,1,2013,12,25,52,0.0
5,465,1,0,0,1,0,0,0,2013,9,21,38,4439.405229944045
0,839,1,0,0,1,0,0,0,2013,7,22,30,6666.344162968062
0,738,1,1,0,1,0,0,0,2013,2,4,6,7949.147616836675
6,0,0,0,0,1,0,0,0,2015,2,8,6,0.0
5,492,1,0,0,1,0,0,0,2013,1,19,3,4858.140908374069
4,987,1,1,0,1,0,0,0,2013,5,31,22,10647.359560492556
3,335,1,1,0,1,0,0,0,2013,1,24,4,3388.9386031282547
0,3508,1,1,1,1,0,0,0,2014,8,4,32,20342.095193310553
3,716,1,1,0,1,0,0,0,2013,6,6,23,6925.320644558355
5,377,1,0,0,1,0,0,0,2013,5,4,18,3530.6630101490937
2,1176,1,1,0,1,0,0,0,2013,3,20,12,9933.06760223703
1,462,1,1,0,1,0,0,0,2014,5,20,21,5388.96935241597
3,454,1,1,0,1,0,0,0,2015,1,8,2,5375.637278710659
2,372,1,0,0,1,0,0,0,2013,6,26,26,3782.4908842737746
1,710,1,0,0,1,0,0,0,2013,12,10,50,6556.282676171153
4,0,0,1,1,0,0,1,0,2015,4,3,14,0.0
2,373,1,0,0,1,0,0,0,2013,10,16,42,3660.8782993040645
1,1201,1,1,0,1,0,0,0,2015,6,30,27,12169.478386359364
0,650,1,1,1,1,0,0,0,2014,4,28,18,7560.777433262894
3,508,1,1,0,1,0,0,0,2013,2,7,6,5411.719798484114
1,879,1,1,0,1,0,0,0,2014,9,2,36,8692.520375986336
4,769,1,1,1,1,0,0,0,2015,6,5,23,7802.179447421524
1,435,1,1,0,1,0,0,0,2014,3,18,12,5277.615136125011
1,930,1,1,1,1,0,0,0,2013,7,30,31,9623.239404797581
6,0,0,0,0,1,0,0,0,2013,10,27,43,0.0
5,501,1,0,0,1,0,0,0,2014,2,15,7,4888.666257812626
5,474,1,0,0,1,0,0,0,2014,1,11,2,4696.389066763789
5,589,1,0,0,1,0,0,0,2014,3,29,13,5652.772732508942
4,0,0,0,1,0,0,0,1,2014,12,26,52,0.0
2,624,1,1,0,1,0,0,0,2013,7,17,29,6412.855561185649
4,861,1,0,0,1,0,0,0,2014,1,31,5,7975.488689753234
4,546,1,0,0,1,0,0,0,2014,2,14,7,5053.975322823611
6,0,0,0,0,1,0,0,0,2015,6,7,23,0.0
3,1068,1,1,0,1,0,0,0,2013,12,19,51,11258.665117298426
0,500,1,0,0,1,0,0,0,2015,2,23,9,4588.581715434323
2,444,1,0,0,1,0,0,0,2014,6,25,26,4279.9387493990025
2,499,1,1,0,1,0,0,0,2014,10,8,41,5421.220869580345
0,764,1,0,0,1,0,0,0,2013,9,16,38,6112.0989823485115
4,661,1,1,0,1,0,0,0,2014,6,20,25,6622.24679591153
5,1004,1,0,0,1,0,0,0,2013,6,22,25,8004.32422289216
0,482,1,1,0,1,0,0,0,2013,7,1,27,5852.099681080276
6,0,0,0,0,1,0,0,0,2015,3,1,9,0.0
1,505,1,0,0,1,0,0,0,2014,5,27,22,4609.013677671189
3,0,0,1,0,0,1,0,0,2013,5,30,22,0.0
6,0,0,0,0,1,0,0,0,2013,2,3,5,0.0
2,1584,1,1,0,1,0,0,0,2013,8,14,33,12091.6968879773
3,668,1,1,0,1,0,0,0,2015,1,29,5,7005.324200076518
1,507,1,1,0,1,0,0,0,2014,3,18,12,5867.024177421553
1,1050,1,1,0,1,0,0,0,2014,9,2,36,9527.039327265004
2,421,1,1,0,1,0,0,0,2014,3,5,10,4903.138055061001
4,600,1,0,0,1,0,0,0,2014,1,17,3,5341.496421800316
5,426,1,0,0,1,0,0,0,2013,9,14,37,4056.7102704117674
6,0,0,0,0,1,0,0,0,2014,3,9,10,0.0
1,333,1,0,0,1,0,0,0,2014,3,25,13,3374.393759497842
4,802,1,0,0,1,0,0,0,2015,5,29,22,7862.1841385952375
0,590,1,1,0,1,0,0,0,2013,12,16,51,7944.76156819568
3,501,1,1,0,1,0,0,0,2015,3,5,10,5786.818781381068
4,905,1,0,1,1,0,0,0,2015,7,24,30,7776.2533490088745
0,575,1,1,0,1,0,0,0,2015,2,2,6,6970.116738527218
5,343,1,0,0,1,0,0,0,2015,2,7,6,3265.6378596548957
5,304,1,0,0,1,0,0,0,2013,3,23,12,2836.0337075382613
1,510,1,0,1,1,0,0,0,2015,4,7,15,4996.902213439721
4,1176,1,1,0,1,0,0,0,2014,6,20,25,9930.65487517869
1,464,1,0,1,1,0,0,0,2013,9,3,36,4423.640148379236
4,384,1,0,1,1,0,0,0,2014,8,29,35,3906.7952825829298
3,685,1,1,1,1,0,0,0,2013,10,24,43,6717.1371347048735
5,492,1,0,0,1,0,0,0,2014,4,19,16,4882.000233713111
3,1410,1,0,1,1,0,0,0,2013,10,31,44,10518.006313628066
